Country,City,lat,lon
Angola,Luanda,-8.871229,13.30448
Botswana,Gaborone,-24.634432,25.915398
Botswana,Francistown,-21.186244,27.496567
DRC,Kinsasha,-4.318447,15.272359
Lesotho,Maseru,-29.344155,27.492979
Madagascar,Antananarivo,-18.887962,47.514284
Malawi,Blantye,-15.769949,35.019252
Malawi,Lilongwe,-13.963143,33.7767
Mauritius,Port Louis,-20.163139,57.503299
Mozambique,Maputo,-25.924859,32.571495
Mozambique,Beira,-19.822438,34.862059
Seychelles,Victoria,-4.621871,55.451806
South Africa,Johannesburg,-26.197445,28.032834
South Africa,Cape Town,-33.928441,18.426198
South Africa,Bloemfontein,-29.120085,26.224407
Tanzania,Dodoma,-6.168677,35.745462
Tanzania,Dar es Salaam,-6.815411,39.260712
Namibia,Windhoek,-22.552644,17.071494
Eswatini,Manzini,-26.497813,31.360386
Zambia,Lusaka,-15.398946,28.314912
Zambia,Kasama,-10.212382,31.178276
Zimbabwe,Bulawayo,-20.156086,28.582755
Zimbabwe,Harare,-17.83075,31.051156
